epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,19285.6,0.17652,0.12868,0.78819,0.99983,0.99984,0.995,0.99497,0.07719,0.06896,0.76043,0.005578,0.005578,0.005578
136,19427.7,0.17942,0.12953,0.78858,0.99983,0.99984,0.995,0.99497,0.0767,0.06862,0.76037,0.005545,0.005545,0.005545
137,19570,0.17538,0.12707,0.7896,0.99983,0.99984,0.995,0.99497,0.07647,0.06862,0.76023,0.005512,0.005512,0.005512
138,19712.2,0.17497,0.12831,0.78827,0.99984,0.99984,0.995,0.99497,0.07605,0.06812,0.76004,0.005479,0.005479,0.005479
139,19854.5,0.17661,0.12851,0.7891,0.99983,0.99984,0.995,0.99497,0.07588,0.06815,0.75998,0.005446,0.005446,0.005446
140,19997,0.17278,0.12742,0.78693,0.99983,0.99984,0.995,0.99497,0.07546,0.06766,0.75986,0.005413,0.005413,0.005413
141,20139.5,0.17031,0.12724,0.78611,0.99984,0.99984,0.995,0.99497,0.07519,0.06737,0.7598,0.00538,0.00538,0.00538
142,20282.1,0.17034,0.12498,0.7882,0.99984,0.99984,0.995,0.99497,0.07503,0.06719,0.75987,0.005347,0.005347,0.005347
143,20424.8,0.1722,0.12658,0.78927,0.99983,0.99984,0.995,0.99497,0.07478,0.06659,0.75992,0.005314,0.005314,0.005314
144,20567.3,0.17147,0.12614,0.78796,0.99984,0.99984,0.995,0.99497,0.07436,0.06608,0.75991,0.005281,0.005281,0.005281
145,20709.6,0.16986,0.12545,0.78835,0.99984,0.99984,0.995,0.99497,0.07382,0.06584,0.75985,0.005248,0.005248,0.005248
146,20852,0.17019,0.12535,0.78868,0.99984,0.99984,0.995,0.99497,0.07363,0.0657,0.75982,0.005215,0.005215,0.005215
147,20994,0.1678,0.12481,0.78787,0.99984,0.99984,0.995,0.99497,0.07334,0.06555,0.75983,0.005182,0.005182,0.005182
148,21136.3,0.16998,0.12468,0.78918,0.99984,0.99984,0.995,0.99497,0.0729,0.06514,0.7598,0.005149,0.005149,0.005149
149,21278.6,0.17057,0.12466,0.78951,0.99984,0.99984,0.995,0.99497,0.07261,0.06498,0.75977,0.005116,0.005116,0.005116
150,21420.6,0.16957,0.12507,0.788,0.99983,0.99984,0.995,0.99497,0.07231,0.06496,0.75963,0.005083,0.005083,0.005083
151,21563.3,0.16738,0.12322,0.78699,0.99983,0.99984,0.995,0.99497,0.07205,0.0648,0.75944,0.00505,0.00505,0.00505
152,21706,0.16973,0.12501,0.7876,0.99983,0.99984,0.995,0.99497,0.07179,0.06431,0.75938,0.005017,0.005017,0.005017
153,21848.2,0.16596,0.12479,0.78741,0.99983,0.99984,0.995,0.99497,0.07143,0.06416,0.75933,0.004984,0.004984,0.004984
154,21990.5,0.16569,0.12243,0.78748,0.99983,0.99984,0.995,0.99497,0.07143,0.06422,0.7593,0.004951,0.004951,0.004951
155,22132.6,0.16315,0.1212,0.78667,0.99983,0.99984,0.995,0.99496,0.07133,0.06397,0.75928,0.004918,0.004918,0.004918
156,22275,0.16693,0.125,0.7872,0.99983,0.99984,0.995,0.99496,0.07101,0.06402,0.7592,0.004885,0.004885,0.004885
157,22417.2,0.16077,0.12113,0.78644,0.99983,0.99984,0.995,0.99496,0.071,0.06401,0.75916,0.004852,0.004852,0.004852
158,22559.5,0.1629,0.12401,0.78614,0.99983,0.99984,0.995,0.99497,0.07104,0.06432,0.75913,0.004819,0.004819,0.004819
159,22702.3,0.16061,0.11902,0.78676,0.99983,0.99984,0.995,0.99497,0.07094,0.06409,0.75924,0.004786,0.004786,0.004786
160,22845,0.16277,0.12036,0.78905,0.99983,0.99984,0.995,0.99497,0.07093,0.06401,0.75931,0.004753,0.004753,0.004753
161,22987.8,0.16561,0.12239,0.7873,0.99983,0.99984,0.995,0.99497,0.07075,0.06394,0.75929,0.00472,0.00472,0.00472
162,23130.3,0.16578,0.1217,0.78706,0.99983,0.99984,0.995,0.99497,0.07064,0.06378,0.75925,0.004687,0.004687,0.004687
163,23272.9,0.1644,0.12069,0.78872,0.99983,0.99984,0.995,0.99497,0.07059,0.06368,0.75929,0.004654,0.004654,0.004654
164,23415.5,0.16428,0.12085,0.78731,0.99983,0.99984,0.995,0.99497,0.07033,0.06337,0.75934,0.004621,0.004621,0.004621
165,23557.9,0.16238,0.11954,0.7869,0.99983,0.99984,0.995,0.99497,0.06988,0.06316,0.75941,0.004588,0.004588,0.004588
166,23700.8,0.16445,0.12099,0.78756,0.99983,0.99984,0.995,0.99497,0.06996,0.06312,0.75941,0.004555,0.004555,0.004555
167,23843.1,0.16743,0.12217,0.78789,0.99983,0.99984,0.995,0.99496,0.06969,0.06273,0.75944,0.004522,0.004522,0.004522
168,23985.8,0.16082,0.12074,0.78568,0.99983,0.99984,0.995,0.99497,0.06945,0.06251,0.75938,0.004489,0.004489,0.004489
169,24128.3,0.1584,0.11892,0.78669,0.99983,0.99984,0.995,0.99497,0.06912,0.06232,0.75933,0.004456,0.004456,0.004456
